nr.,book,starts on line,ends on line,speaker,speech/this speaker,mortal/god,anonymous?,disguise?,length,dialogue?,addressee,battle exhortation (ch. 2)
657,24,406,409,Priamus,18 of 25,mortal,,,4,sixth part of dialogue,Hermes,
658,24,411,423,Hermes,5 of 8,god,,young man,13,seventh part of dialogue,Priamus,
659,24,425,431,Priamus,19 of 25,mortal,,,7,eighth part of dialogue,Hermes,
660,24,433,439,Hermes,6 of 8,god,,young man,7,ninth part of dialogue,Priamus,
661,24,460,467,Hermes,7 of 8,god,,,8,single speech,Priamus,
662,24,486,506,Priamus,20 of 25,mortal,,,21,first part of dialogue,Achilles,
663,24,518,551,Achilles,82 of 87,mortal,,,34,second part of dialogue,Priamus,
664,24,553,558,Priamus,21 of 25,mortal,,,6,third part of dialogue,Achilles,
665,24,560,570,Achilles,83 of 87,mortal,,,11,fourth part of dialogue,Priamus,
666,24,592,595,Achilles,84 of 87,mortal,,,4,soliloquy,Patroclus,
667,24,599,620,Achilles,85 of 87,mortal,,,22,fifth part of dialogue,Priamus,
668,24,635,642,Priamus,22 of 25,mortal,,,8,sixth part of dialogue,Achilles,
669,24,650,658,Achilles,86 of 87,mortal,,,9,seventh part of dialogue,Priamus,
670,24,660,667,Priamus,23 of 25,mortal,,,8,eighth part of dialogue,Achilles,
671,24,669,670,Achilles,87 of 87,mortal,,,2,ninth part of dialogue,Priamus,
672,24,683,688,Hermes,8 of 8,god,,,6,single speech,Priamus,
673,24,704,706,Cassandra,1 of 1,mortal,,,3,single speech,Trojans,
674,24,716,717,Priamus,24 of 25,mortal,,,2,single speech,Trojans,
675,24,725,745,Andromache,4 of 4,mortal,,,21,soliloquy,Hector,
676,24,748,759,Hecabe,6 of 6,mortal,,,12,soliloquy,Hector,
677,24,762,775,Helena,7 of 7,mortal,,,14,soliloquy,Hector,
678,24,778,781,Priamus,25 of 25,mortal,,,4,single speech,Trojans,
